iter	Logloss
0	0.6144319595
1	0.5478912283
2	0.4942293896
3	0.4468803896
4	0.4109891325
5	0.3772527893
6	0.3510824607
7	0.3334773668
8	0.3106890927
9	0.2913282163
10	0.2772225892
11	0.2650355724
12	0.2532336101
13	0.2465489546
14	0.2399814716
15	0.2315303848
16	0.2256768866
17	0.2190672713
18	0.2145324164
19	0.2102852208
20	0.2059707643
21	0.2023920478
22	0.1995541488
23	0.197253246
24	0.1948480717
25	0.1926466415
26	0.1904580509
27	0.1892352665
28	0.1878204957
29	0.1863882357
30	0.1850692507
31	0.1840475435
32	0.1830962091
33	0.1822219147
34	0.1812559635
35	0.1805491066
36	0.1798345668
37	0.1793227834
38	0.1785817342
39	0.1780578756
40	0.177583787
41	0.1771389333
42	0.1767600667
43	0.1763640398
44	0.1757900898
45	0.1755576216
46	0.1751120476
47	0.1748215307
48	0.174394062
49	0.1740166061
50	0.1736048072
51	0.1733376871
52	0.1731697575
53	0.1726806525
54	0.1723843757
55	0.1721270503
56	0.1719226221
57	0.171737852
58	0.1714204792
59	0.1711759659
60	0.1709657481
61	0.1708257055
62	0.1705590932
63	0.1702958483
64	0.1699008087
65	0.169668876
66	0.1694627335
67	0.1691811827
68	0.1689363607
69	0.1686931252
70	0.1684648799
71	0.1682781462
72	0.1680216712
73	0.1678942922
74	0.1677498789
75	0.1674963154
76	0.1673641657
77	0.1671221405
78	0.166940137
79	0.1666551722
80	0.1664355904
81	0.1662765078
82	0.1660981979
83	0.1659568803
84	0.165799622
85	0.1656512404
86	0.1655472205
87	0.1653835378
88	0.1652036294
89	0.1649280998
90	0.1646928672
91	0.1645846827
92	0.1645002057
93	0.1643116762
94	0.1641920785
95	0.1641153549
96	0.163922624
97	0.1638793644
98	0.1636065914
99	0.1635198537
100	0.1633171799
101	0.1631648657
102	0.1630246362
103	0.1628479943
104	0.1626777401
105	0.1626106522
106	0.1623872995
107	0.1622438378
108	0.1621650235
109	0.1620366111
110	0.1617703048
111	0.1616188554
112	0.1614589211
113	0.161312404
114	0.1612390293
115	0.1610919594
116	0.1609549395
117	0.1608166483
118	0.1606416935
119	0.1604766152
120	0.1602792356
121	0.1601091321
122	0.1599162238
123	0.1598199903
124	0.1596936367
125	0.1595373028
126	0.1594119267
127	0.1592388519
128	0.1591090423
129	0.1588994301
130	0.158810541
131	0.1587862136
132	0.1586335552
133	0.1585052316
134	0.1583212386
135	0.1581439305
136	0.157953978
137	0.157829668
138	0.1577143472
139	0.1576172661
140	0.1575179641
141	0.1573584235
142	0.1571869027
143	0.1570712875
144	0.156878049
145	0.1567624766
146	0.1566324107
147	0.1564955123
148	0.1563571913
149	0.1562575118
150	0.1561292839
151	0.1560196402
152	0.1558711628
153	0.1557596893
154	0.1556455827
155	0.1555046866
