iter	Passed	Remaining
0	151	151237
1	159	79477
2	180	59891
3	184	45886
4	189	37634
5	193	31974
6	197	27974
7	201	24926
8	204	22499
9	208	20607
10	211	19048
11	215	17745
12	219	16644
13	223	15754
14	227	14945
15	231	14220
16	234	13578
17	238	12999
18	241	12483
19	244	12002
20	248	11578
21	251	11198
22	255	10860
23	259	10555
24	263	10271
25	267	10008
26	270	9757
27	274	9536
28	278	9340
29	282	9135
30	286	8952
31	290	8775
32	293	8602
33	297	8445
34	300	8295
35	304	8150
36	308	8020
37	311	7898
38	315	7778
39	319	7662
40	322	7551
41	326	7441
42	329	7337
43	333	7238
44	336	7145
45	340	7061
46	344	6975
47	347	6894
48	350	6809
49	354	6733
50	358	6663
51	361	6592
52	365	6538
53	369	6474
54	373	6416
55	377	6356
56	380	6302
57	384	6249
58	388	6197
59	392	6144
60	396	6096
61	399	6044
62	402	5993
63	406	5945
64	410	5898
65	414	5859
66	417	5815
67	421	5771
68	424	5728
69	428	5687
70	431	5649
71	435	5610
72	439	5574
73	442	5539
74	446	5503
75	449	5468
76	453	5436
77	457	5402
78	460	5370
79	464	5336
80	467	5306
81	471	5276
82	474	5244
83	478	5217
84	482	5191
85	485	5164
86	489	5136
87	492	5108
88	496	5083
89	500	5057
90	503	5030
91	506	5003
92	510	4980
93	514	4958
94	517	4934
95	521	4910
96	524	4886
97	528	4863
98	532	4843
99	535	4822
100	539	4801
101	543	4781
102	546	4761
103	550	4741
104	553	4721
105	557	4700
106	560	4681
107	564	4662
108	568	4643
109	571	4625
110	575	4607
111	578	4588
112	582	4572
113	586	4554
114	589	4537
115	593	4521
116	596	4504
117	600	4487
118	603	4470
119	607	4454
120	611	4439
121	614	4422
122	617	4404
123	621	4389
124	624	4373
125	628	4359
126	631	4343
127	635	4327
128	638	4314
129	642	4300
130	646	4285
131	648	4266
132	652	4255
133	656	4242
134	660	4229
135	663	4215
136	667	4202
137	670	4190
138	674	4178
139	677	4164
140	681	4152
141	685	4142
142	689	4129
143	692	4117
144	696	4104
145	699	4092
146	703	4080
147	706	4067
148	710	4055
149	713	4043
150	716	4030
151	720	4019
152	724	4008
153	727	3996
154	730	3984
155	734	3972
156	737	3962
157	741	3950
158	744	3939
159	748	3928
160	751	3918
161	755	3907
162	758	3897
163	762	3886
164	765	3874
165	769	3865
166	773	3856
167	776	3845
168	780	3835
169	783	3825
170	787	3816
171	790	3806
172	794	3796
173	797	3787
174	801	3778
175	804	3768
176	808	3759
177	812	3750
178	815	3741
179	819	3732
180	822	3723
181	826	3713
182	829	3704
183	833	3695
184	836	3686
185	840	3677
186	843	3667
187	847	3658
188	850	3650
189	854	3640
190	857	3632
191	861	3623
192	864	3615
193	868	3607
194	871	3598
195	875	3589
196	878	3581
197	882	3574
198	886	3567
199	889	3559
200	893	3551
201	897	3544
202	900	3536
203	904	3528
204	908	3521
205	911	3513
206	915	3506
207	918	3499
208	922	3491
209	925	3483
210	929	3476
211	933	3468
212	936	3460
213	940	3452
214	943	3444
215	947	3437
216	950	3431
217	954	3423
218	958	3417
219	962	3410
220	966	3405
221	969	3397
222	972	3389
223	976	3382
224	979	3374
225	983	3367
226	986	3359
227	990	3352
228	993	3345
229	996	3337
230	1000	3330
231	1004	3323
232	1007	3317
233	1011	3311
234	1015	3304
235	1018	3298
236	1022	3292
237	1027	3288
238	1030	3282
239	1034	3275
240	1038	3269
241	1042	3263
242	1045	3257
243	1049	3252
244	1053	3246
245	1057	3241
246	1061	3236
247	1065	3229
248	1068	3222
249	1071	3215
250	1075	3208
251	1079	3203
252	1082	3197
253	1086	3191
254	1090	3185
255	1094	3180
256	1098	3174
257	1101	3168
258	1106	3164
259	1110	3160
260	1114	3154
261	1118	3149
262	1122	3144
263	1126	3139
264	1130	3134
265	1133	3128
266	1137	3124
267	1142	3119
268	1145	3114
269	1149	3108
270	1153	3102
271	1158	3101
272	1163	3097
273	1167	3094
274	1172	3091
275	1177	3087
276	1182	3085
277	1187	3083
278	1191	3078
279	1194	3072
280	1198	3067
281	1203	3064
282	1208	3061
283	1212	3057
284	1216	3051
285	1219	3045
286	1223	3039
287	1226	3032
288	1230	3026
289	1234	3021
290	1237	3015
291	1241	3009
292	1244	3003
293	1248	2997
294	1251	2990
295	1254	2984
296	1258	2978
297	1261	2971
298	1264	2965
299	1267	2958
300	1271	2951
301	1274	2945
302	1278	2941
303	1282	2935
304	1286	2930
305	1289	2924
306	1293	2919
307	1296	2913
308	1300	2907
309	1303	2902
310	1307	2896
311	1310	2890
312	1314	2884
313	1317	2879
314	1321	2874
315	1326	2870
316	1330	2866
317	1334	2861
318	1338	2856
319	1343	2854
320	1347	2850
321	1352	2847
322	1356	2842
323	1360	2838
324	1364	2834
325	1369	2830
326	1374	2828
327	1378	2824
328	1382	2820
329	1386	2815
330	1390	2810
331	1394	2806
332	1398	2801
333	1402	2796
334	1406	2792
335	1411	2790
336	1416	2786
337	1421	2783
338	1426	2780
339	1430	2777
340	1435	2773
341	1439	2769
342	1443	2764
343	1447	2759
344	1451	2756
345	1456	2753
346	1461	2749
347	1465	2746
348	1471	2745
349	1476	2742
350	1480	2737
351	1485	2733
352	1490	2731
353	1494	2727
354	1498	2723
355	1503	2719
356	1507	2714
357	1511	2710
358	1516	2707
359	1521	2705
360	1526	2701
361	1531	2699
362	1538	2698
363	1543	2697
364	1548	2694
365	1554	2693
366	1559	2690
367	1564	2686
368	1569	2683
369	1573	2680
370	1579	2677
371	1584	2674
372	1588	2670
373	1593	2667
374	1597	2662
375	1601	2657
376	1605	2652
377	1608	2647
378	1611	2641
379	1615	2635
380	1618	2629
381	1621	2623
382	1624	2617
383	1627	2611
384	1630	2605
385	1634	2599
386	1637	2593
387	1640	2588
388	1644	2582
389	1647	2576
390	1650	2571
391	1654	2565
392	1657	2560
393	1660	2554
394	1664	2548
395	1667	2543
396	1671	2538
397	1674	2532
398	1677	2526
399	1681	2521
400	1684	2516
401	1687	2510
402	1690	2504
403	1693	2499
404	1697	2493
405	1700	2488
406	1704	2483
407	1707	2478
408	1711	2472
409	1714	2467
410	1717	2461
411	1721	2456
412	1724	2450
413	1727	2445
414	1730	2439
415	1734	2434
416	1737	2429
417	1740	2423
418	1743	2418
419	1747	2413
420	1750	2407
421	1753	2402
422	1757	2396
423	1760	2391
424	1764	2386
425	1767	2381
426	1770	2376
427	1773	2370
428	1777	2365
429	1781	2361
430	1784	2355
431	1787	2350
432	1790	2344
433	1794	2339
434	1797	2334
435	1801	2330
436	1804	2324
437	1807	2319
438	1811	2314
439	1814	2309
440	1817	2303
441	1820	2298
442	1824	2293
443	1827	2288
444	1830	2282
445	1833	2277
446	1836	2272
447	1840	2267
448	1843	2262
449	1847	2257
450	1850	2252
451	1853	2247
452	1856	2242
453	1860	2237
454	1863	2232
455	1867	2227
456	1870	2222
457	1874	2218
458	1878	2213
459	1881	2208
460	1884	2203
461	1888	2199
462	1891	2194
463	1895	2189
464	1898	2184
465	1902	2179
466	1905	2174
467	1909	2170
468	1912	2165
469	1915	2160
470	1919	2155
471	1923	2151
472	1926	2146
473	1930	2142
474	1933	2137
475	1937	2132
476	1940	2127
